COMMAND     PID USER   FD   TYPE             DEVICE SIZE/OFF NODE NAME
rapportd    472 imac    8u  IPv4 0x22aba9d0b4866065      0t0  TCP *:64625 (LISTEN)
rapportd    472 imac    9u  IPv6 0x7d8220af82bc6f99      0t0  TCP *:64625 (LISTEN)
ControlCe   539 imac    5u  IPv4 0x642ee0477afe9226      0t0  TCP *:7000 (LISTEN)
ControlCe   539 imac    6u  IPv6 0x541c0aed37ad15e4      0t0  TCP *:7000 (LISTEN)
ControlCe   539 imac    7u  IPv4 0x56ada95ee1908477      0t0  TCP *:5000 (LISTEN)
ControlCe   539 imac    8u  IPv6  0xc78cb3337a7154b      0t0  TCP *:5000 (LISTEN)
java       3475 imac  390u  IPv6 0x1edb0fc9b51464f5      0t0  TCP 127.0.0.1:7687 (LISTEN)
java       3475 imac  393u  IPv6 0xbb0eeeae230b4879      0t0  TCP 127.0.0.1:7474 (LISTEN)
python3.1 14828 imac    4u  IPv6 0x2af3e4eafea58e7b      0t0  TCP *:8000 (LISTEN)
OrbStack  14848 imac   74u  IPv4 0x8701f9558be565c1      0t0  TCP 127.0.0.1:32222 (LISTEN)
OrbStack  14848 imac   75u  IPv6  0x3c817e3432501e8      0t0  TCP [::1]:32222 (LISTEN)
OrbStack  14848 imac   76u  IPv4 0xeff264e137f25811      0t0  TCP 127.0.0.1:61131 (LISTEN)
OrbStack  14848 imac  101u  IPv4 0x3aa5bd164cff2f3d      0t0  TCP *:6333 (LISTEN)
OrbStack  14848 imac  102u  IPv6 0x6372331a4b3d391c      0t0  TCP *:6333 (LISTEN)
OrbStack  14848 imac  103u  IPv4 0xabff67c273972fc7      0t0  TCP *:3006 (LISTEN)
OrbStack  14848 imac  104u  IPv6 0xd4bd3b909aa16d15      0t0  TCP *:3006 (LISTEN)
OrbStack  14848 imac  106u  IPv4 0x16e67d52f77ea1c0      0t0  TCP *:27017 (LISTEN)
OrbStack  14848 imac  108u  IPv6 0x32fabbb29c59e569      0t0  TCP *:27017 (LISTEN)
OrbStack  14848 imac  109u  IPv4 0x559e64914044dccb      0t0  TCP *:6379 (LISTEN)
OrbStack  14848 imac  110u  IPv6 0x686a9135f34acdf3      0t0  TCP *:6379 (LISTEN)
OrbStack  14848 imac  111u  IPv4 0x845a4be3b17e9fb2      0t0  TCP *:3003 (LISTEN)
OrbStack  14848 imac  112u  IPv6 0x4e1c8d274dcd2e04      0t0  TCP *:3003 (LISTEN)
OrbStack  14848 imac  113u  IPv4 0x3045477e287a7925      0t0  TCP *:3000 (LISTEN)
OrbStack  14848 imac  114u  IPv4 0x6c393f169a0a4f29      0t0  TCP *:2024 (LISTEN)
OrbStack  14848 imac  115u  IPv4 0x4b5383403aec82b6      0t0  TCP *:5432 (LISTEN)
OrbStack  14848 imac  116u  IPv6 0x74568a72b26ab7ff      0t0  TCP *:3000 (LISTEN)
OrbStack  14848 imac  117u  IPv6 0x8a22021f5e75ad75      0t0  TCP *:2024 (LISTEN)
OrbStack  14848 imac  118u  IPv6 0xf76f537ecf0f2df2      0t0  TCP *:5432 (LISTEN)
OrbStack  14848 imac  131u  IPv4 0xde8d9886169fb920      0t0  TCP 127.0.0.1:26443 (LISTEN)
OrbStack  14848 imac  138u  IPv4 0x7ab7345f0253770f      0t0  TCP 127.0.0.1:26444 (LISTEN)
OrbStack  14848 imac  140u  IPv4 0x11b83f7e9a22d7df      0t0  TCP 127.0.0.1:10010 (LISTEN)
OrbStack  14848 imac  141u  IPv4 0x8b4d9eaf257861b9      0t0  TCP 127.0.0.1:10248 (LISTEN)
OrbStack  14848 imac  142u  IPv4 0x619e9df9cdfe213e      0t0  TCP 127.0.0.1:10250 (LISTEN)
OrbStack  14848 imac  143u  IPv4 0xff95a08d88f50391      0t0  TCP 127.0.0.1:10256 (LISTEN)
OrbStack  14848 imac  144u  IPv4 0x4bd5ec0bd9cbf66e      0t0  TCP 127.0.0.1:10249 (LISTEN)
OrbStack  14848 imac  145u  IPv4 0x1f953545cdcf499e      0t0  TCP 127.0.0.1:10258 (LISTEN)
OrbStack  14848 imac  147u  IPv4 0xb4b5a2141173ac92      0t0  TCP 127.0.0.1:10257 (LISTEN)
OrbStack  14848 imac  148u  IPv4 0xa7b938bf1e39df10      0t0  TCP 127.0.0.1:10259 (LISTEN)
python3.1 26000 imac    3u  IPv4 0x204e06f7bfe206cb      0t0  TCP *:8888 (LISTEN)
one-engin 26011 imac    9u  IPv4 0x7a90b29f6a40127a      0t0  TCP 127.0.0.1:7777 (LISTEN)
python3.1 37650 imac    4u  IPv6 0xb48ccb1caf425f59      0t0  TCP *:7777 (LISTEN)
